site_code,SppRich,Simp,Shan,EvenJ,E10,Abund,S_PIE,Turnover,Turnover_app,Turnover_disapp,rare.sppRich,ept_spp_richness,ept_abundance,crustacea_spp_richness,crustacea_abundance,diptera_spp_richness,diptera_abundance,mollusc_spp_richness,mollusc_abundance,insect_spp_richness,insect_abundance,annelid_spp_richness,annelid_abundance
LTR325_2012,27,0.877411265,2.477710158,0.751769659,0.091767043,288,8.365991903,0.657142857,0.428571429,0.228571429,27,13,167,1,3,2,10,4,30,20,239,2,16
LTR325_2013,29,0.885347571,2.594350373,0.770455138,0.089460358,2526,8.748768919,0.697674419,0.372093023,0.325581395,24.69101203,8,1199,1,32,2,193,5,151,17,1951,6,392
LTR325_2014,42,0.927524939,3.115461788,0.833530543,0.074177662,351,14.32152017,0.685185185,0.462962963,0.222222222,40.32599317,18,110,0,0,3,24,5,35,34,292,3,24
LTR325_2015,32,0.940420342,3.094527612,0.892891928,0.096703988,584,17.25131739,0.654545455,0.236363636,0.418181818,31.25348739,6,183,2,16,5,110,6,80,19,425,5,63
LTR325_2016,31,0.949799219,3.166223764,0.922025498,0.10213625,598,20.57197188,0.6875,0.333333333,0.354166667,30.03528841,7,149,0,0,3,54,8,219,21,347,2,32
LTR325_2017,23,0.566495268,1.435028094,0.457672059,0.062392526,1276,2.309146599,0.744186047,0.279069767,0.465116279,16.69298103,6,148,1,33,1,818,7,182,14,1057,1,4
LTR325_2020,25,0.745062459,2.034684524,0.632110288,0.081387381,390,3.952222164,0.769230769,0.41025641,0.358974359,23.47248524,7,113,1,4,2,12,5,30,16,331,3,25
LTR327_2010,13,0.878960821,2.21521718,0.863649481,0.170401322,169,8.635036496,NA,NA,NA,12.25298632,4,60,0,0,1,1,3,36,9,132,1,1
LTR327_2012,38,0.890779298,2.765491578,0.760254591,0.072776094,410,9.342061281,0.813953488,0.697674419,0.11627907,26.8555363,13,268,0,0,6,13,3,35,33,370,2,5
LTR327_2013,25,0.940624704,2.994043054,0.930151773,0.119761722,1735,16.9973107,0.833333333,0.296296296,0.537037037,23.57971199,7,702,0,0,5,262,4,313,20,1244,1,178
LTR327_2014,38,0.831301,2.120143208,0.582843434,0.055793242,2796,5.938186726,0.788461538,0.519230769,0.269230769,14.50135171,10,1789,0,0,5,56,4,759,31,2026,3,11
LTR327_2015,32,0.930268905,2.982504062,0.860568764,0.093203252,890,14.55928897,0.727272727,0.309090909,0.418181818,26.11520999,10,325,0,0,2,50,9,417,21,451,2,22
LTR327_2016,27,0.945769707,3.067044984,0.930581551,0.113594259,713,18.90288948,0.688888889,0.288888889,0.4,24.54144149,9,275,0,0,3,47,6,213,18,443,3,57
LTR327_2017,13,0.553611161,1.236781751,0.482185641,0.095137058,424,2.246786761,0.857142857,0.228571429,0.628571429,8.498858437,7,401,0,0,2,8,2,13,11,411,0,0
LTR327_2020,30,0.851360947,2.582151043,0.759188825,0.086071701,130,7.040302267,0.771428571,0.628571429,0.142857143,30,7,14,0,0,4,8,5,54,23,74,2,2
LTR33_2010,8,0.75767313,1.647733616,0.792392372,0.205966702,95,4.268642447,NA,NA,NA,8,0,0,0,0,0,0,4,37,3,24,1,34
LTR33_2012,16,0.624812225,1.653771625,0.596472031,0.103360727,746,2.671303328,0.857142857,0.619047619,0.238095238,12.86659326,6,581,0,0,2,62,5,48,11,698,0,0
LTR33_2013,12,0.880159252,2.24514024,0.903510899,0.18709502,234,8.615992415,0.962962963,0.407407407,0.555555556,11.32715152,7,160,0,0,1,1,0,0,11,201,1,33
LTR33_2014,28,0.937618046,2.983878601,0.895466827,0.106567093,545,16.48576512,0.75,0.625,0.125,22.9056742,7,144,0,0,2,52,6,184,17,285,5,76
LTR33_2015,27,0.917208665,2.806123026,0.851414418,0.103930482,286,12.56706753,0.69047619,0.333333333,0.357142857,21.70558774,9,171,0,0,2,32,6,39,19,229,2,18
LTR33_2016,30,0.95029321,3.141809934,0.923736432,0.104726998,720,20.66751836,0.642857143,0.357142857,0.285714286,24.93787965,7,251,0,0,2,73,7,234,20,437,3,49
LTR33_2017,34,0.94731651,3.153975494,0.894399614,0.092763985,557,19.61565746,0.72,0.4,0.32,26.09816128,21,350,1,2,2,19,4,108,27,434,2,13
LTR33_2020,27,0.931717726,2.928759004,0.888623777,0.108472556,162,16.00122699,0.803921569,0.333333333,0.470588235,23.67513408,6,62,1,7,3,20,9,57,16,93,1,5
LTR387_2010,19,0.809564062,2.199048339,0.746847992,0.115739386,91,5.511440108,NA,NA,NA,14.15988136,8,36,0,0,2,37,2,3,17,88,0,0
LTR387_2012,28,0.893976182,2.736325721,0.821175805,0.097725919,93,10.38349515,0.72972973,0.486486486,0.243243243,19.69989644,12,48,2,4,2,14,4,11,19,72,3,6
LTR387_2013,32,0.955039257,3.255369656,0.939301132,0.101730302,395,23.50906344,0.75,0.416666667,0.333333333,22.47808776,9,107,2,29,4,58,12,164,15,184,3,18
