"","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","spp_richness",0.05846527750239,0.0109366084951755,0.0301863390112517,0.0870882767123589,0.0366388200693287,0.0799256500724546,0.040177702492776,0.0762261156689846,0.0444355597580375,0.0724131429954488
"2","spp_rich_rare",-0.0347241339973887,0.00408563431709299,-0.0450781629127452,-0.0242942959426302,-0.0427358905292413,-0.026863906763815,-0.041465498598748,-0.0281084623723389,-0.0400112003710138,-0.0294730773583358
"3","shannonsH",0.0423483436201284,0.00692237922999414,0.0246976308056495,0.0599769133110097,0.0289343931306935,0.0556887487058908,0.0308786738819497,0.0534983994773375,0.0334002536119098,0.0510692670972159
"4","E10",-0.00188377240898075,0.000518498161737979,-0.00318112414828358,-0.000573589602450514,-0.0029086723044515,-0.0008673356777787,-0.00274080802784631,-0.00103832145497148,-0.00256551946638277,-0.00122092789683122
"5","abundance",0.0149709088498158,0.00680494813854249,-0.00304368005187105,0.0322405849755695,0.00160448930812313,0.0281464905457308,0.00376005214549457,0.0261332491337591,0.00625326898509962,0.0236689111473916
"6","turnover",0.0103389169826522,0.00259891574105496,0.00368884713288134,0.0173836586393871,0.0053422546318516,0.0154525139958056,0.00612695424087464,0.0145996214788405,0.00706141215571699,0.0136683672031918
"7","F_turnover",-0.00482525086235649,0.00551505220899631,-0.0189488886683447,0.00915876462676038,-0.0156017946010664,0.00584371776084807,-0.0138877706552644,0.00434364371310977,-0.0119817491366951,0.00223051994727659
"8","FRic",0.00347601534059522,0.000714870436083624,0.00163157797660026,0.00536558818308958,0.00206355735047539,0.00487178384747488,0.00227996179445008,0.00464409372187415,0.00255042018908212,0.0043812945941273
"9","FEve",0.000444639726408953,0.00153937851944347,-0.00344355215383404,0.00444951965573072,-0.00255866109569085,0.00349482176898368,-0.00210524316285358,0.00298133084268896,-0.00151639440823476,0.00241903401843472
"10","FDis",0.000100771300816531,4.65304712089009e-05,-1.75979313358496e-05,0.00021845551948744,1.00724434384722e-05,0.000192252346772588,2.50124960679505e-05,0.000178142454870527,4.05967338906613e-05,0.000161079208352538
"11","FRed",0.000988697158285719,0.000334294951123802,0.000135259179997166,0.00186659073616797,0.000336106215880338,0.00162917453827712,0.000437858907611835,0.00153994089975999,0.000557349950392337,0.00141605667789396
"12","ept_richness",0.110440864690537,0.0100947352379528,0.0842559249650031,0.135770508149029,0.0904223492396459,0.130120615188584,0.0935459360120413,0.127065476865001,0.0973448810705504,0.123324032166191
"13","ept_abundance",0.0126304559696261,0.00605017058147641,-0.00335620930591918,0.0279349763187593,0.000600733916740932,0.0244392103857548,0.00256945690244345,0.0223873354261169,0.0048170925405557,0.0203075018183198
"14","diptera_richness",0.0257204828489587,0.00708159763357146,0.00756083718618298,0.0439112594495537,0.0120750265498356,0.0393861096525794,0.014173470880548,0.037275273204788,0.0165572982781812,0.034841409211695
"15","diptera_abundance",0.00696507187244388,0.0100499266543366,-0.019429797740317,0.0326163763278233,-0.012638159508913,0.0266814866236295,-0.00932274038703594,0.0233418751262005,-0.00577790513692187,0.0198072056707634
"16","insect_richness",0.0539040758692067,0.0119959200640198,0.0238171715841023,0.0856571262193298,0.0306292389864946,0.0772499839810599,0.0339049696374847,0.0733236744740975,0.0384653056072895,0.0692463785081692
"17","insect_abundance",0.0108834994032556,0.00591007512935799,-0.00435366600693491,0.0250032606348511,-0.000891406702393564,0.0222474758081781,0.00102508564361245,0.0204998121577402,0.00319235877542976,0.0186062911827618
"18","mollusc_richness",0.0538166536747638,0.00943815469372081,0.0297956121941923,0.0778572948180171,0.0351436473294416,0.0722302760656888,0.0382492665895017,0.0694452104070617,0.04170317688715,0.0660279077518716
"19","mollusc_abundance",0.0413940797492259,0.00734639048027339,0.0224406712368837,0.059631817073441,0.0271397322388652,0.0558318652726531,0.0292889697366901,0.0535336958127912,0.0320072000334842,0.0508775226374341
"20","annelid_richness",0.0270832968236319,0.00648762888796267,0.0103683574038661,0.0437087045541528,0.0143734609813049,0.039570523142822,0.0165516238418031,0.0376675222996313,0.0187196968658596,0.0354975838737027
"21","annelid_abundance",0.0331003463093379,0.0091326690406294,0.00917999316104623,0.057425482205967,0.0153899014561541,0.0514108999463858,0.018138165877866,0.0482198967150723,0.02142240045142,0.0447150964555057
"22","crustacea_richness",0.0252415597527607,0.00565343479997638,0.0110898545127813,0.0400380040906124,0.01405341951029,0.0363184657607055,0.015897857269279,0.0344199918848123,0.0179179823872304,0.0324535011160034
"23","crustacea_abundance",0.0511291197429684,0.00781894385307729,0.0308327286066417,0.0715533053577024,0.0359698425317795,0.0665830312651632,0.0384214685770092,0.0638438885285407,0.0412168549954112,0.0611421653434703
