"","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","spp_richness",0.771202319534453,0.12540411295318,0.443344708441044,1.08662193575958,0.520062881804099,1.0092013617461,0.56357205578451,0.977445171796382,0.611975068024915,0.932492999885311
"2","spp_rich_rare",0.28325527218662,0.066279133680243,0.116914784184609,0.44690352532143,0.152348844689859,0.413410150687437,0.174526737752825,0.393400224322271,0.199242227693832,0.368748767363864
"3","shannonsH",0.0441879859846329,0.00771892046542207,0.0244456406960292,0.0646124315872605,0.0293454353559288,0.0594285393169447,0.0316194651234411,0.0569721246002804,0.0342931818253008,0.0540941715822986
"4","E10",-0.00205798734829732,0.000492319165934445,-0.00330054787801482,-0.000785099472098916,-0.00301952900232933,-0.00109019176315185,-0.00286022124063907,-0.00123962287659022,-0.0026858931675896,-0.00141524569098704
"5","abundance",0.0150019591599474,0.00681013282681417,-0.00260943499690516,0.0325853845410128,0.00192656343703509,0.0285989364356061,0.00401733559765528,0.0265579369433906,0.006359516140876,0.02385674527944
"6","turnover",0.00897490982539977,0.00226099209770876,0.00325704148064378,0.0147441075817835,0.00461057526207029,0.0133652393259761,0.00525249360238825,0.012650327351987,0.00605996579407792,0.0118716854498853
"7","F_turnover",-0.00474625070504282,0.00548218713650397,-0.018884160385356,0.00924662128755508,-0.0155341727591704,0.00626939516412282,-0.0136914742821507,0.00443513968757798,-0.011694568037884,0.00229412328870269
"8","FRic",0.020387247208715,0.00363603383177333,0.0111228497954099,0.0292994601592845,0.0133184793050084,0.0274294124082781,0.0144096720007063,0.026384729158802,0.0157614954835005,0.0251207076436421
"9","FEve",0.000398159779778253,0.00134694743079446,-0.00309122240118164,0.0038603046295737,-0.00229157197906854,0.00302167105978316,-0.00185260463235695,0.00260258587094153,-0.00132485797719561,0.00211660209026553
"10","FDis",0.000271238767106823,0.000153044865827936,-0.000142292350865142,0.000646171625108488,-2.9285297355642e-05,0.000568894082727432,2.18893608418011e-05,0.000522089141402954,7.68902373007818e-05,0.000467172642949658
"11","FRic.SES",0.0171589094491649,0.013206008333124,-0.01760375982858,0.0508101354765407,-0.00881572887424914,0.0433413080376139,-0.00461187007334143,0.0391533799732136,0.000367649096675059,0.0343312495769362
"12","FDis.SES",-0.00628684672138934,0.0145064039550889,-0.0430031602638524,0.0320941139238396,-0.0348165907320066,0.0223000060809923,-0.0300299001653966,0.0175763845719485,-0.024982742071968,0.0119903359791935
"13","FEve.SES",-0.00966969606260597,0.016955094200698,-0.0528371007336533,0.0337842162006118,-0.0431490760187224,0.0231497151015571,-0.0379352998249602,0.0178236646545963,-0.0316976491687369,0.0119716117613638
"14","FRed",0.000909250810014959,0.000389312325839205,-9.83149976780134e-05,0.00194674537839667,0.000139801269170504,0.00166075038402702,0.000259655880449659,0.00154641804875809,0.000414192682950275,0.00140616841261898
"15","ept_richness",0.0429140374988489,0.0124542458517257,0.011551421023522,0.0761241043302629,0.0187930266390206,0.0673275879669304,0.0222631123245563,0.0632446383463084,0.0271260967255045,0.0587467784071304
"16","ept_abundance",0.0124092515249068,0.00606760280703236,-0.00320392225723346,0.0279453170805269,0.000254492023440519,0.0242994019326922,0.0023343848497551,0.0222773952484488,0.00472795057512869,0.0201547705113018
"17","diptera_richness",0.0252945646191039,0.00616398158145289,0.0094341977857973,0.0417840352798972,0.013234973722328,0.0373924152089141,0.0152626689758797,0.0353860838417519,0.0173143629362295,0.0331704765313971
"18","diptera_abundance",0.00747940069927268,0.0101900339131253,-0.0198442919466758,0.0338740793333783,-0.012277345200923,0.0276469672743117,-0.00917850161620471,0.0242644580533056,-0.00542764177816676,0.0203642543797223
"19","insect_richness",0.0366330748895222,0.0151630411832926,-0.0037673133586468,0.0757556737856565,0.00638483288297364,0.0665290378474558,0.0115346007475185,0.0616621106163052,0.0174611162295277,0.055752886451519
"20","insect_abundance",-0.0010853048119186,0.00642137670317176,-0.0179757447710038,0.0150877345846645,-0.0137567509258932,0.011511790586591,-0.0116342951662056,0.00959984649492457,-0.00921070146823984,0.00717352597767985
"21","mollusc_richness",0.0763311482784395,0.0108258629162431,0.0481038086359245,0.104043244129153,0.0548790725594925,0.0975415868584389,0.0583389300271593,0.0941715175672406,0.0625028942031721,0.090348013567374
"22","mollusc_abundance",0.0414176254226538,0.0074597209670865,0.0226234767100215,0.0605245407651843,0.0271821018010848,0.056019839879645,0.0291464108725142,0.0537667647093332,0.0317513821572756,0.0510911092428004
"23","annelid_richness",0.0271299023228727,0.00657492375471339,0.0104108002265795,0.0438122400575078,0.0139957834303043,0.0399369245168212,0.0162529164677456,0.0379653416200208,0.0187911061968541,0.0355717615882405
"24","annelid_abundance",0.0330072986696056,0.00853270560415318,0.0115901459760887,0.0546241412565636,0.0161966432180544,0.0496617266117787,0.0191016194347968,0.0469826801869596,0.0218969820452621,0.0438707690019876
