site_code,flow,temp,sus_solid,alkalinity,o2_dis,pH,EC,BOD7,NH4-N,NO2-N,NO3-N,mineral-N,Tot-N,PO4-P,Tot-P
LTR86_2016,18.678,10.933,3.65,5.25,8.446,7.973,933.583,1.922,0.043,0.022,2.269,2.334,3.598,0.062,0.082
LTR86_2017,34.485,10.167,6.033,4.75,9.698,8.025,992.333,1.633,0.041,0.028,4.747,4.816,6.382,0.068,0.083
LTR86_2020,12.831,10.783,3.625,5.792,10.181,7.942,1094.75,1.366,0.023,0.023,6.142,6.188,7.818,0.077,0.096
LTR88_2010,0.366,8.275,5.983,5.317,6.913,7.833,1119.5,2.75,0.459,0.041,4.303,4.802,6.138,0.678,0.839
LTR88_2012,0.37,8.817,2.258,5.681,7.971,7.922,991.25,1.95,0.114,0.041,6.214,6.369,8.862,0.255,0.314
LTR88_2013,1.052,9.2,4.667,5.908,7.715,7.883,1044.25,3.455,0.321,0.055,6.076,6.452,8.514,0.438,0.548
LTR88_2014,0.486,9.829,2.541,5.633,7.837,8.069,999.458,1.689,0.07,0.047,7.228,7.346,9.852,0.395,0.464
LTR88_2015,0.593,9.825,4.408,6.583,7.603,8.157,1054,1.922,0.07,0.042,7.913,8.025,10.023,0.623,0.723
LTR88_2016,0.168,9.125,2.867,6.617,6.984,8.165,1202.333,2.133,1.719,0.045,5.96,7.723,10.371,0.823,0.982
LTR88_2017,1.278,8.792,3.55,6.646,7.02,8.098,1126.25,2.072,0.2,0.049,10.038,10.287,12.139,0.744,0.883
LTR88_2020,0.266,10.108,3.042,6.792,8.327,8.156,1231.417,3.933,0.143,0.025,7.148,7.316,10.865,0.881,1.008
LTR92_2010,0.782,9.308,1.7,6.183,8.528,7.838,887.25,1.382,0.117,0.027,2.636,2.781,4.848,0.04,0.053
LTR92_2012,1.137,9.95,3.367,6.567,8.359,7.632,762.583,1.343,0.041,0.026,3.446,3.513,4.808,0.05,0.063
LTR92_2013,0.9,9.942,4.192,6.133,8.253,7.336,743.417,1.579,0.203,0.041,3.468,3.713,5.978,0.099,0.12
LTR92_2014,0.69,9.817,5.125,6.208,8.852,7.758,695.583,1.518,0.038,0.025,3.771,3.835,4.638,0.111,0.127
LTR92_2015,0.889,8.967,3.083,6.225,9.488,7.964,758.833,1.3,0.04,0.02,3.854,3.915,5.666,0.053,0.068
LTR92_2016,0.943,10.042,4.233,5.817,8.623,7.929,837.417,1.491,0.054,0.028,2.897,2.979,3.768,0.058,0.072
LTR92_2017,2.386,9.442,7.833,5.608,9.068,7.958,894,1.721,0.183,0.047,5.184,5.414,6.842,0.494,0.56
LTR92_2020,0.813,10.175,3.917,6.492,9.13,7.867,1144.417,1.358,0.037,0.035,6.882,6.954,9.008,0.123,0.147
