site_code,flow,temp,sus_solid,alkalinity,o2_dis,pH,EC,BOD7,NH4-N,NO2-N,NO3-N,mineral-N,Tot-N,PO4-P,Tot-P
LTR161_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR161_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR175_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR192_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR231_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR245_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR26_2010,2.11,9.875,15.364,4.725,8.287,7.612,480.833,3.825,0.083,0.021,0.328,0.432,0.93,0.019,0.062
LTR26_2012,1.652,9.883,5.958,4.967,9.434,7.937,507.917,2.696,0.066,0.009,0.438,0.513,0.957,0.027,0.053
LTR26_2013,2.099,9.708,8.508,4.875,9.255,8.159,495.167,2.775,0.09,0.009,0.411,0.51,0.902,0.026,0.064
LTR26_2014,1.782,9.783,4.618,5.112,9.401,8.13,493.125,2.783,0.077,0.008,0.335,0.42,0.81,0.028,0.056
LTR26_2015,1.157,10.008,3.758,5.117,9.375,7.908,501.083,2.292,0.055,0.007,0.278,0.339,0.673,0.025,0.053
LTR26_2016,1.34,10.608,4.746,4.983,9.358,8.136,477,4.825,0.112,0.007,0.4,0.519,1.303,0.035,0.062
LTR26_2017,1.848,9.542,6.413,5.025,8.981,8.06,489.333,4.017,0.102,0.009,0.461,0.572,1.239,0.023,0.062
LTR26_2020,1.049,10.958,4.446,5.167,9.17,7.558,503.25,2.533,0.054,0.006,0.268,0.329,0.982,0.026,0.052
LTR268_2010,0.989,9,10.375,5.333,8.669,7.538,616.333,2.483,0.108,0.021,1.593,1.722,2.45,0.034,0.09
LTR268_2011,1.233,8.583,8.05,5.532,7.787,7.687,532.917,3.508,0.081,0.019,1.545,1.645,2.358,0.026,0.075
LTR268_2012,1.315,9.417,11.658,4.798,8.32,7.808,513,2.492,0.098,0.021,1.343,1.461,2.217,0.019,0.062
LTR268_2013,1.742,8.833,10.158,4.221,7.744,7.833,588.417,2.858,0.07,0.019,1.875,1.964,2.54,0.019,0.062
LTR268_2014,2.001,9.417,7.708,4.375,7.975,8.025,534.333,3.083,0.086,0.02,1.816,1.921,2.5,0.025,0.068
LTR268_2015,0.651,9.583,14.617,4.9,8.542,7.95,600.083,2.708,0.089,0.024,2.408,2.522,3.148,0.035,0.078
LTR268_2016,1.095,9.833,8.092,4.708,7.442,8.175,616.083,2.767,0.068,0.031,2.805,2.904,3.392,0.044,0.075
LTR268_2017,1.746,8.833,8.217,4.967,8.058,8.083,603.667,3.108,0.05,0.029,2.633,2.711,3.333,0.021,0.069
LTR268_2020,1.278,10,9.683,4.65,9.075,8.008,498.083,2.675,0.057,0.019,2.126,2.203,3.417,0.022,0.078
LTR325_2010,8.157,9.542,7.183,3.3,9.408,7.917,362.667,2.742,0.132,0.02,0.854,1.006,1.915,0.014,0.045
LTR325_2012,3.593,8.925,9.05,3.712,11.575,7.9,402.917,2.478,0.103,0.011,0.607,0.72,1.269,0.017,0.048
LTR325_2013,4.315,9.517,5.721,3.648,10.3,7.95,397.75,2.485,0.107,0.008,0.435,0.551,1.233,0.011,0.037
LTR325_2014,3.182,10.383,8.942,3.502,9.142,7.917,385.583,2.717,0.074,0.013,0.493,0.581,0.873,0.017,0.072
LTR325_2015,2.265,8.992,4.979,4.058,9.808,8.092,409.667,2.308,0.105,0.01,0.434,0.549,1.318,0.008,0.033
LTR325_2016,1.933,9.063,6.829,3.7,9.867,8.063,393,2.613,0.099,0.01,0.809,0.918,1.6,0.009,0.044
LTR325_2017,4.408,8.733,10.633,3.642,9.558,8.283,383.417,3.083,0.111,0.012,1.334,1.457,2.493,0.016,0.054
LTR325_2020,2.641,10.308,7.192,3.617,9.875,8.117,397.917,2.767,0.061,0.012,1.003,1.076,2.073,0.009,0.05
LTR327_2010,27.918,9.425,2.508,3.983,9.908,7.999,425.083,2.3,0.041,0.01,0.628,0.678,1.8,0.025,0.048
LTR327_2012,21.583,10.2,3.892,4.312,11.658,8.142,472.833,2.022,0.032,0.017,0.662,0.711,1.172,0.02,0.046
LTR327_2013,25.691,8.418,6.232,4.325,11.8,8.136,474,2.545,0.039,0.009,0.631,0.68,1.122,0.016,0.045
LTR327_2014,17.994,10.058,4.013,4.353,10.817,8.167,469.5,2.479,0.034,0.01,0.457,0.502,0.786,0.014,0.049
LTR327_2015,19.871,9.575,4.213,4.792,10.017,8.3,468.667,1.811,0.029,0.008,0.709,0.747,1.258,0.015,0.041
LTR327_2016,20.803,9.9,2.717,4.442,10.433,8.242,456.5,2.05,0.04,0.008,0.728,0.777,1.29,0.013,0.045
LTR327_2017,37.017,8.55,4.238,4.658,9.917,8.383,462.5,2.133,0.047,0.011,0.928,0.986,1.726,0.018,0.049
LTR327_2020,24.219,10.1,3.358,4.45,10.192,8.4,482.833,2.017,0.025,0.008,0.798,0.834,1.634,0.017,0.04
LTR33_2010,15.228,9.4,10.883,4,9.609,8.143,569.083,2.692,0.099,0.015,1.452,1.566,2.433,0.038,0.074
LTR33_2012,15.043,9.675,7.583,3.333,10.162,8.414,570.25,1.892,0.039,0.012,1.497,1.548,2.033,0.025,0.091
LTR33_2013,17.105,10.092,9.279,4.083,10.071,8.266,530.583,2.3,0.039,0.016,1.777,1.832,2.301,0.031,0.064
LTR33_2014,13.006,10.3,8.321,5,10.808,8.492,574.833,2.617,0.052,0.015,1.72,1.787,2.356,0.025,0.057
LTR33_2015,14.197,9.2,4.658,5.033,11.183,8.567,538.667,2.183,0.028,0.012,2.073,2.113,2.963,0.025,0.063
LTR33_2016,9.473,10.258,7.046,4.925,10.392,8.417,565.917,2.083,0.022,0.013,2.507,2.542,3.279,0.026,0.081
LTR33_2017,9.347,9.108,5.983,5.225,11.275,8.525,593,2.117,0.029,0.017,3.378,3.425,3.768,0.019,0.059
LTR33_2020,5.141,9.775,3.288,4.933,11.183,8.442,619.583,2.1,0.015,0.01,2.495,2.521,2.859,0.014,0.035
LTR387_2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR387_2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTR40_2010,50.044,10.058,5.208,4.533,8.653,8.197,723.75,3.158,0.179,0.035,2.831,3.044,4.342,0.087,0.146
LTR40_2012,19.735,10.567,6.338,4.083,9.558,8.353,690.167,2.433,0.107,0.035,3.267,3.408,4.025,0.085,0.129
LTR40_2013,50.562,10.675,9.521,4.5,9.47,8.411,653.25,2.733,0.097,0.03,3.19,3.316,4.443,0.096,0.134
LTR40_2014,20.74,10.817,8.883,5.442,9.925,8.35,754.833,3.4,0.1,0.042,4.43,4.573,5.542,0.06,0.113
LTR40_2015,32.63,10.183,5.092,5.825,11.25,8.575,785.083,2.717,0.077,0.035,4.551,4.663,6.342,0.052,0.093
LTR40_2016,22.501,11.117,6.654,5.383,9.725,8.267,821.167,2.542,0.071,0.029,4.448,4.548,5.625,0.071,0.105
