taxonname,aqem
Hydraenidae Gen. sp. Ad.,7738
Hydrochus sp. Ad.,12950
Hydrophilidae Gen. sp. Ad.,12984
Hydropsyche angustipennis ssp.,21230
Hydropsyche contubernalis ssp.,5592
Hydropsyche pellucidula,5601
Hydropsyche siltalai,5604
Hydropsyche sp.,5605
Hydropsychidae Gen. sp.,8474
Hydroptila sp.,5616
Hydroptila tineoides,5618
Hydroptilidae Gen. sp.,7455
Hygrotus inaequalis Ad.,11963
Hyphydrus ovatus Ad.,11973
Ilybius sp. Ad.,11733
Ilyocoris cimicoides ssp.,19346
Ischnura elegans,5658
Ischnura pumilio,5659
Ischnura sp.,9045
Isogenus nubecula,5660
Isoperla difformis,5665
Isoperla grammatica,5667
Isoperla obscura,5669
Isoperla sp.,5673
Isoptena serricornis,5676
Ithytrichia lamellaris,5677
Kageronia fuscogrisea,5452
Laccobius sp. Ad.,9586
Laccophilus hyalinus Ad.,12051
Laccophilus sp. Ad.,12053
Lepidostoma basale,5713
Lepidostoma hirtum,5723
Leptoceridae Gen. sp.,5726
Leptocerus interruptus,5727
Leptocerus sp.,9060
Leptocerus tineiformis,5728
Leptophlebia marginata,5730
Leptophlebia sp.,5731
Leptophlebia vespertina,5732
Leptophlebiidae Gen. sp.,7201
Lestes sp.,5736
Lestidae Gen. sp.,5739
Leuctra digitata,5760
Leuctra fusca ssp.,21323
Leuctra hippopus,5768
Leuctra nigra,5779
Leuctra sp.,5790
Libellula quadrimaculata,5797
Libellula sp.,9066
Limnephilidae Gen. sp.,5809
Limnephilus affinis,5815
Limnephilus binotatus,5818
Limnephilus bipunctatus,5819
Limnephilus borealis,5820
Limnephilus decipiens,5824
Limnephilus flavicornis,5827
Limnephilus fuscicornis,5828
Limnephilus lunatus,5837
Limnephilus politus,5840
Limnephilus rhombicus ssp.,19351
Limnephilus sp.,5844
Limnephilus stigma,5845
Limnephilus vittatus,5847
Limnius sp. Ad.,12093
Limnius volckmari Ad.,12094
Limnomysis benedeni,8730
Limoniidae Gen. sp.,8483
Lithax obscurus,5894
Lithoglyphus naticoides,5896
Lumbriculus sp.,5906
Lumbriculus variegatus,5907
Lymnaea sp.,5919
Lymnaea stagnalis,5916
Lymnaeidae Gen. sp.,8428
Lype reducta,5921
Mesovelia furcata,5966
Micrasema setiferum ssp.,19358
Micrasema sp.,5986
Micronecta minutissima,10344
Micronecta sp.,6002
Micropterna lateralis,6021
Micropterna sequax,6023
Microtendipes chloris,6030
Microvelia sp.,9090
Molanna angustata,6045
Molanna sp.,9091
Muscidae Gen. sp.,8659
Musculium lacustre,7966
Mysidae Gen. sp.,9278
Mystacides azurea,6062
Mystacides longicornis,6063
Mystacides nigra,6064
Mystacides sp.,6065
Nebrioporus depressus Ad.,11985
Nebrioporus sp. Ad.,12004
Nemotaulius punctatolineatus,6091
Nemoura cinerea ssp.,21356
Nemoura dubitans,6096
Nemoura sp.,6108
Nemurella pictetii,6113
Nepa cinerea,6118
Neureclipsis bimaculata,6122
Notidobia ciliaris,6134
Notiphila riparia,12292
Notonecta glauca ssp.,19375
Notonecta lutea,6137
Notonecta sp.,6139
Obesogammarus crassus,21829
Ochthebius sp. Ad.,8576
Odontomyia sp.,9509
Oecetis furva,6170
Oecetis notata,6172
Oecetis ochracea,6173
Oecetis sp.,6174
Oligochaeta Gen. sp.,8736
Onychogomphus forcipatus,6194
Ophiogomphus cecilia,8175
Oplodontha viridula,14144
Orconectes limosus,6199
Orectochilus villosus Ad.,12422
Orthetrum cancellatum,6207
Orthocladiinae Gen. sp.,6208
Orthotrichia costalis,6257
Oulimnius sp. Ad.,12104
Oulimnius troglodytes Ad.,12110
Oxycera sp.,6266
Oxyethira flavicornis,6267
Oxyethira sp.,6268
Palpomyia sp.,10864
Paraleptophlebia cincta,6307
Paraleptophlebia sp.,6308
Paraleptophlebia submarginata,6309
Paraleptophlebia werneri,6310
Paramysis lacustris,9278
Parapoynx stratiotata,9461
Pedicia sp.,6354
Peregriana peregra,5919
Pericoma sp.,6366
Perlodes dispar,6373
Perlodes sp.,6377
Phryganea bipunctata,6391
Phryganea grandis ssp.,21217
Physa fontinalis,6395
Physa sp.,9146
Physella acuta,6396
Pilaria sp.,6403
Piscicola geometra,6408
Pisidium amnicum,6409
Pisidium casertanum ssp.,19391
Pisidium henslowanum,6418
Pisidium nitidum,6421
Pisidium pulchellum,14105
Pisidium sp.,6425
Pisidium subtruncatum,6426
Pisidium supinum,6427
Placobdella costata,8747
Planaria sp.,6429
Planaria torva,6430
Planorbarius corneus,6431
Planorbidae Gen. sp.,8748
Planorbis carinatus,6435
Planorbis planorbis,6436
Planorbis sp.,9154
Platambus maculatus Ad.,11746
Platycnemis pennipes,6438
Platycnemis sp.,9156
Plea minutissima ssp.,19392
Plectrocnemia conspersa ssp.,21218
Plectrocnemia sp.,6447
Polycentropodidae Gen. sp.,8478
Polycentropus flavomaculatus ssp.,21659
Polycentropus irroratus,6469
Polycentropus sp.,6472
Polypedilum exsectum,10945
Polypedilum sp.,6501
Pontogammarus robustoides,10491
Potamanthus luteus,6510
Potamophylax latipennis,6522
Potamophylax rotundipennis,6526
Potamophylax sp.,6527
Procladius ferrugineus,20063
Procladius sp.,6571
Procloeon sp.,9167
Protonemura sp.,6616
Psectrotanypus sp.,8163
Pseudanodonta complanata ssp.,19396
Pseudanodonta sp.,9169
Pseudocentroptiloides nana,10681
Psychoda pusilla,13872
Psychoda sp.,6658
Psychodidae Gen. sp.,8753
Psychomyia pusilla,6661
Ptychoptera sp.,7492
Pyrrhosoma nymphula,6667
Radix auricularia,6669
Radix sp.,6673
Ranatra linearis,6674
Rhyacophila fasciata ssp.,21233
Rhyacophila nubila,6772
Rhyacophila pascoei,6774
Rhyacophila sp.,23044
Segmentina nitida,6812
Sergentia coracina,6814
Sericostoma personatum,6817
Sericostoma schneideri,6818
Sericostoma sp.,6818
Serratella ignita,5131
Sialis fuliginosa,6821
Sialis lutaria,6822
Sialis sp.,6823
Sigara falleni,6825
Sigara fossarum,8213
Sigara hellensii,8214
Sigara semistriata,8216
Sigara sp.,6829
Sigara striata,6830
Silo pallipes,6834
Simuliidae Gen. sp.,6842
Simulium sp.,6853
Somatochlora flavomaculata,7436
Somatochlora metallica,6878
Sphaeriidae Gen. sp.,8429
Sphaerium corneum,6882
Sphaerium rivicola,6884
Sphaerium solidum,6885
Sphaerium sp.,6886
Stagnicola corvus,6903
Stagnicola palustris,6905
Stenophylax permistus,6911
Stratiomys sp.,6932
Stylaria lacustris,6934
Synendotendipes impar,8055
Synurella ambulans,6960
Syrphidae Gen. sp.,9322
Tabanidae Gen. sp.,8485
Tabanus sp.,6963
Taeniopteryx nebulosa,6969
Tanypodinae Gen. sp.,6972
Tanypus vilipennis,6976
Tanytarsus sp.,7009
Telmatoscopus sp.,7019
Theodoxus fluviatilis,7025
Theromyzon tessulatum,7034
Thienemannimyia lentiginosa,7053
Tinodes waeneri ssp.,7069
Tipula lateralis,7074
Tipula sp.,7077
Tipulidae Gen. sp.,8487
Triaenodes bicolor,7088
Tubifex sp.,7115
Tubifex tubifex,7116
Unio crassus ssp.,19440
Unio pictorum ssp.,19441
Unio sp.,7138
Unio tumidus ssp.,19442
Valvata cristata,7142
Valvata piscinalis ssp.,19443
Valvata sp.,7146
Viviparus contectus,7157
Viviparus viviparus,7158
